a,c,t,o,r,_,a,t,t,r,i,b,u,t,e,s,_,l,o,c,a,t,i,o,n
"Salt Lake City, UT, USA",40.7607793,-111.8910474
"North Carolina, USA",35.7595731,-79.01929969999999
"New York, NY, USA",40.7143528,-74.00597309999999
"Mountain View, CA, USA",37.3860517,-122.0838511
"New York, NY, USA",40.7143528,-74.00597309999999
Norway,60.47202399999999,8.468945999999999
"Prague, Czech Republic",50.0755381,14.4378005
S,a,n, ,F,r,a,n,c,i,s,c,o,",", ,C,A
"Bergen, Norway",60.39126279999999,5.3220544
"Mumbai, Maharashtra, India",19.0759837,72.8776559
"South Kingstown, RI, USA",41.4475686,-71.524667
"Vancouver, BC, Canada",49.261226,-123.1139268
C,a,p,e, ,T,o,w,n,",", ,S,o,u,t,h, ,A,f,r,i,c,a
"Chicago, IL, USA",41.8781136,-87.6297982
"Rochester, NY, USA",43.16103,-77.6109219
#,e,g,g,s,m,l
"Los Angeles, CA, USA",34.0522342,-118.2436849
"Indianapolis, IN, USA",39.768403,-86.158068
"Oxford, UK",51.7520209,-1.2577263
"Florida, USA",27.6648274,-81.5157535
"Berkeley, CA, USA",37.8715926,-122.272747
"San Francisco, CA, USA",37.7749295,-122.4194155
France,46.227638,2.213749
Saudi Arabia,23.885942,45.079162
"Jakarta, Republic of Indonesia",-6.211544,106.845172
V,a,n,c,o,u,v,e,r
"London, UK",51.51121389999999,-0.1198244
S,Ã,£,o, ,P,a,u,l,o,",", ,B,r,a,z,i,l
"California, USA",36.778261,-119.4179324
"San Francisco, CA, USA",37.7749295,-122.4194155
B,a,n,d,r,a, ,(,E,a,s,t,),",", ,M,u,m,b,a,i
"Corvallis, OR, USA",44.5645659,-123.2620435
"Geneva, Switzerland",46.1983922,6.142296099999999
Brazil,-14.235004,-51.92528
"Pittsburgh, PA, USA",40.44062479999999,-79.9958864
"Shanghai, China",31.230393,121.473704
"Chicago, IL 60637, USA",41.7805099,-87.603826
"Nanjing, Jiangsu, China",32.060255,118.796877
"Cleveland, OH, USA",41.4994954,-81.6954088
"380 44 Alsterbro, Sweden",56.93640000000001,15.92873
"Zurich, Switzerland",47.3686498,8.539182499999999
"Somerville, MA, USA",42.3875968,-71.0994968
"Chelyabinsk, Chelyabinsk Oblast, Russia",55.1638982,61.4019449
"Fredericksburg, VA, USA",38.3031837,-77.4605399
"San Isidro District, Peru",-12.0991,-77.03475
